parent_id,parent_name,length_meters,dip_degrees_min,dip_degrees_max,dip_degrees_mean,upper_depth_km_min,upper_depth_km_max,upper_depth_km_mean,lower_depth_km_min,lower_depth_km_max,lower_depth_km_mean
264,Santa Rosa Island,57304.808,90.0,90.0,90.0,0.0,0.0,0.0,8.7,8.7,8.7
265,"Santa Susana (east, connector)",8327.699,55.0,55.0,55.0,0.0,0.0,0.0,16.3,16.3,16.3
266,Santa Susana [1],27084.187,55.0,55.0,55.0,0.0,0.0,0.0,16.3,16.3,16.3
268,Santa Ynez (east),68038.895,70.0,70.0,70.0,0.0,0.0,0.0,13.3,13.3,13.3
269,Santa Ynez (west),79214.03,70.0,70.0,70.0,0.0,0.0,0.0,9.2,9.2,9.2
270,Santa Ynez River,72438.394,70.0,70.0,70.0,0.0,0.0,0.0,12.0,12.0,12.0
271,Sargent,56748.67,90.0,90.0,90.0,0.0,0.0,0.0,12.0,12.0,12.0
272,Scodie Lineament (seismicity),14095.25,68.0,68.0,68.0,7.0,7.0,7.0,12.9,12.9,12.9
273,Sheephole,15143.362,90.0,90.0,90.0,0.0,0.0,0.0,13.0,13.0,13.0
274,Shoreline,22529.908,90.0,90.0,90.0,0.0,0.0,0.0,12.0,12.0,12.0
275,Sierra Madre,56765.163,53.0,53.0,53.0,0.0,0.0,0.0,14.2,14.2,14.2
276,Sierra Madre (San Fernando),19271.558,45.0,45.0,45.0,0.0,0.0,0.0,13.0,13.0,13.0
277,Sierra Nevada (north),34019.65,50.0,50.0,50.0,0.0,0.0,0.0,13.8,13.8,13.8
278,Sierra Nevada (south),113084.736,50.0,50.0,50.0,0.0,0.0,0.0,13.6,13.6,13.6
279,Silver Creek,48418.225,75.0,75.0,75.0,0.0,0.0,0.0,11.1,11.1,11.1
280,Simi - Santa Rosa,39002.554,60.0,60.0,60.0,1.0,1.0,1.0,12.1,12.1,12.1
281,Sisar,19805.18,29.0,29.0,29.0,0.0,0.0,0.0,17.4,17.4,17.4
282,Skinner Flat,12181.408,90.0,90.0,90.0,0.0,0.0,0.0,10.0,10.0,10.0
283,Superstition Hills,36177.765,90.0,90.0,90.0,0.0,0.0,0.0,12.6,12.6,12.6
284,Surprise Valley,87357.441,50.0,50.0,50.0,0.0,0.0,0.0,8.5,8.5,8.5
285,Swain Ravine - Spenceville,103706.768,60.0,60.0,60.0,0.0,0.0,0.0,12.0,12.0,12.0
286,Table Bluff,48747.626,45.0,45.0,45.0,0.0,0.0,0.0,13.0,13.0,13.0
287,Tank Canyon,35257.288,50.0,50.0,50.0,0.0,0.0,0.0,8.3,8.3,8.3
288,Thirty Mile Bank,82258.057,24.0,24.0,24.0,0.3,0.3,0.3,9.6,9.6,9.6
289,Tin Mountain,36955.493,50.0,50.0,50.0,0.0,0.0,0.0,13.0,13.0,13.0
290,Towne Pass,47083.984,50.0,50.0,50.0,0.0,0.0,0.0,13.0,13.0,13.0
291,Trinidad [1],88729.088,35.0,35.0,35.0,0.0,0.0,0.0,13.0,13.0,13.0
292,Ventura - Pitas Point,59226.406,64.0,64.0,64.0,1.0,1.0,1.0,15.0,15.0,15.0
293,Verdugo,31553.981,55.0,55.0,55.0,0.0,0.0,0.0,14.5,14.5,14.5
294,Walker Spring,30747.397,90.0,90.0,90.0,0.0,0.0,0.0,10.0,10.0,10.0
295,West Napa,43841.406,75.0,75.0,75.0,0.0,0.0,0.0,13.2,13.2,13.2
296,West Tahoe,59330.337,50.0,50.0,50.0,0.0,0.0,0.0,13.0,13.0,13.0
