parent_id,parent_name,min_rake,max_rake,min_rake_style,max_rake_style,pref_style
247,San Joaquin Hills,66,172,reverse oblique,strike-slip,reverse oblique
248,San Jose,14,178,strike-slip,strike-slip,reverse
249,San Juan,-180,180,strike-slip,strike-slip,strike-slip
250,San Luis Bay,-180,180,strike-slip,strike-slip,reverse
251,San Luis Range (Oceano),54,178,reverse oblique,strike-slip,reverse oblique
252,San Luis Range (Pecho),-180,180,strike-slip,strike-slip,reverse
253,San Luis Range (extended),-180,180,strike-slip,strike-slip,reverse
255,San Pedro Basin,43,179,reverse oblique,strike-slip,reverse oblique
256,San Pedro Escarpment,45,174,reverse oblique,strike-slip,reverse
257,San Vicente,-177,179,strike-slip,strike-slip,reverse oblique
260,Santa Cruz Island,29,168,reverse oblique,strike-slip,reverse oblique
261,Santa Monica Bay,53,163,reverse oblique,strike-slip,reverse oblique
262,Santa Monica,32,168,reverse oblique,strike-slip,reverse oblique
264,Santa Rosa Island,27,145,reverse oblique,reverse oblique,reverse oblique
265,"Santa Susana (east, connector)",59,173,reverse oblique,strike-slip,reverse oblique
266,Santa Susana,58,170,reverse oblique,strike-slip,reverse
268,Santa Ynez (east),-179,179,strike-slip,strike-slip,reverse oblique
269,Santa Ynez (west),-179,180,strike-slip,strike-slip,reverse oblique
270,Santa Ynez River,-180,180,strike-slip,strike-slip,reverse oblique
271,Sargent,-180,180,strike-slip,strike-slip,strike-slip
272,Scodie Lineament (seismicity),-165,171,strike-slip,strike-slip,normal
273,Sheephole,-180,180,strike-slip,strike-slip,strike-slip
274,Shoreline,-180,180,strike-slip,strike-slip,strike-slip
275,Sierra Madre,49,175,reverse oblique,strike-slip,reverse oblique
276,Sierra Madre (San Fernando),58,173,reverse oblique,strike-slip,reverse oblique
277,Sierra Nevada (north),-164,123,strike-slip,reverse oblique,normal
278,Sierra Nevada (south),-180,180,strike-slip,strike-slip,normal oblique
279,Silver Creek,-180,180,strike-slip,strike-slip,strike-slip
280,Simi - Santa Rosa,33,168,reverse oblique,strike-slip,reverse
281,Sisar,33,174,reverse oblique,strike-slip,reverse
282,Skinner Flat,-149,-105,normal oblique,normal,normal oblique
283,Superstition Hills,-180,180,strike-slip,strike-slip,strike-slip
284,Surprise Valley,-102,-96,normal,normal,normal
285,Swain Ravine - Spenceville,98,99,reverse,reverse,reverse
286,Table Bluff,98,165,reverse,strike-slip,reverse oblique
287,Tank Canyon,-180,180,strike-slip,strike-slip,normal oblique
289,Tin Mountain,-168,-65,strike-slip,normal oblique,normal oblique
290,Towne Pass,-170,-2,strike-slip,strike-slip,normal oblique
291,Trinidad,89,159,reverse,reverse oblique,reverse
293,Verdugo,48,177,reverse oblique,strike-slip,reverse
294,Walker Spring,-129,-87,normal oblique,normal,normal
295,West Napa,-180,180,strike-slip,strike-slip,strike-slip
296,West Tahoe,-158,-86,normal oblique,normal,normal
297,White Mountains,-168,-65,strike-slip,normal oblique,normal oblique
298,White Wolf,-102,176,normal,strike-slip,strike-slip
299,White Wolf (extension),-165,171,strike-slip,strike-slip,normal
300,Whittier,-180,180,strike-slip,strike-slip,reverse oblique
303,Yorba Linda,-178,179,strike-slip,strike-slip,reverse oblique
304,Zayante - Vergeles,-180,180,strike-slip,strike-slip,strike-slip
310,Airport Lake (south),-153,14,normal oblique,strike-slip,normal
