parent_id,parent_name
2004,Hurricane (center)
2005,Hurricane (south)
126,Imperial
1002,Incline Village
127,Independence
320,Independence (north)
1063,Independence Valley
1064,Indian Head
1065,Indian Hill
321,Inks Creek - Hooker Dome
1066,Ione Valley
1268,Ione Valley (unnamed)
1180,Iron Mountain
1067,Jackson Mountains
1068,Jakes Valley
2403,Jemez - San Ysidro (Calabacillas)
2410,Jemez - San Ysidro (Jemez)
2465,Jemez - San Ysidro (San Ysidro)
1069,Jersey Valley
128,Jess Valley
2307,Jocko
2706,Joes Valley
129,Johnson Valley (north)
2466,"Jornada Draw (north, Engle Lake)"
2467,Jornada Draw (south)
130,Joshua Tree (seismicity)
2518,Juniper Mountain
1070,Kane Spring Wash
1071,Kawich Range - Hot Creek Ranges
131,Keddie Ridge
132,Kern Canyon (Lake Isabella)
133,Kern Canyon (north)
134,Kern Canyon (south)
135,Kickapoo
136,King Range
1072,Kings Canyon
2835,Kittitas Valley
2502,Klamath Graben (Klamath Lake)
2519,Klamath Graben (east)
2565,"Klamath Graben (west, center)"
2566,"Klamath Graben (west, north)"
2520,"Klamath Graben (west, south)"
2411,La Bajada
2412,La Canada del Amagre
2413,La Jencia
137,La Panza
2567,La Pine Graben
138,Laguna Salada
2804,Lake Creek - Boundary Creek - Sadie
139,Lake Isabella (seismicity)
322,Lake Peak
1045,Lake Range
140,Las Positas
141,Last Chance
323,Lausuen Knoll
2568,Lava Butte
2223,"Lemhi (Big Gulch, Warm Creek)"
2224,"Lemhi (Ellis, May, Big Gulch)"
2225,"Lemhi (Fallert Springs, Howe)"
142,Lenwood - Lockhart - Old Woman Springs
2037,Leupps
143,Likely
2328,Lima Reservoir
144,Lions Head
1073,Little Fish Lake Valley
145,Little Lake
146,Little Salmon (offshore)
147,Little Salmon (onshore)
1074,Little Valley
2759,Little Valley (east)
1252,Little Valley (unnamed)
2760,Little Valley (west)
2038,Littlefield Mesa
2496,Llano de Albuquerque (proxy)
2497,Llano de Manzano (proxy)
2414,Lobato Mesa
2470,Loma Blanca
2471,Loma Pelada
1075,Lone Mountain
2226,Lone Pine
1248,"Long Valley (center, unnamed)"
1249,"Long Valley (north, unnamed)"
1250,"Long Valley (south, unnamed)"
148,Los Alamos
149,Los Alamos (extension)
150,Los Medanos - Roe Island
151,Los Osos
2472,Los Pinos
152,Lost Hills
324,Lost Man
2205,Lost River
1182,Louderback Mountains
153,Ludlow
1255,Luning (unnamed)
154,"Lytle Creek (San Jacinto, connector)"
155,Maacama
157,Mad River
2308,Madison
2761,Main Canyon
2039,Main Street
160,Malibu Coast
158,Malibu Coast (extension)
2836,Manastash Ridge
162,Manix - Afton Hills
2473,Manzano
2762,Maple Grove
2474,Mastodon
1183,Maverick Springs Range (north)
1184,Maverick Springs Range (south)
325,Mayfield
1185,McAfee Canyon
326,McArthur
163,McKinleyville
164,McLean Lake
2040,Mead Slope
165,Mendocino
2192,Mesita
2041,Mesquite
2522,Metolius
2042,Metz Tank
1186,Mexican Butte
327,Mid Channel
1078,Middlegate
328,Midway
1187,Midway Hills
2475,Mike Well - Bosque del Apache
166,"Mill Creek (San Andreas, north branch)"
2763,Mineral Mountains
2309,Mission
167,Mission (connected)
168,Mission Creek
169,Mission Hills
170,Mission Ridge - Arroyo Parida - Santa Ana
171,Mohawk Valley
172,Mono Lake
1079,Montana Mountains - Desert Valley
1080,Monte Cristo Valley
173,Monte Vista - Shannon
174,Monterey Bay - Tularcitos
175,Morales (east)
176,Morales (west)
2707,Morgan
356,Morongo Valley
2523,Mount Angel
1188,Mount Callaghan
177,Mount Diablo (north)
178,Mount Diablo (south)
2476,Mount Riley
1082,Mount Rose
2489,Mountainair (unnamed)
1189,Murphy Meadows
329,Murrieta Hot Springs
2415,Nacimiento
2416,Nambe
2043,Needles Graben
180,Nelson Lake
1190,Newark Valley
183,Newport - Inglewood
181,Newport - Inglewood (offshore)
184,North Channel
185,North Frontal (east)
186,North Frontal (west)
2750,North Genola
2708,North Promontory
187,North Salt Lake
188,North Tahoe
1084,Northern Butte Valley
1085,Northern Huntington Valley
1193,Northern Monitor Valley
1086,Northern Roberts Mountains
1087,Northern Simpson Park Mountains
1194,Northern Snake Mountains
189,Northridge
190,Northridge Hills
330,Noyo Basin
191,Oak Ridge (offshore)
192,"Oak Ridge (offshore, extension)"
193,Oak Ridge (onshore)
194,Oceanic - West Huasna
195,Oceanside
2764,Ogden Valley North Fork
1195,Olinghouse
2837,Olympia
1196,Oneil Basin (east)
1197,Oneil Basin (west)
2709,Oquirrh
2417,Organ Mountains
197,Ortigalita (north)
198,Ortigalita (south)
199,Owens Valley
200,Owens Valley (Keough Hot Springs)
201,Owl Lake
2227,Owyhee Mountains - Halfway Gulch
202,Ozena
1266,Packard Flat (unnamed)
1270,Pahranagat Valley (unnamed)
1198,Pahrump
2418,Pajarito
1199,Palisade Mesa
203,Palos Verdes
204,Panamint Valley
205,Paradise
1088,Paradise Range
1239,Paradise Range (unnamed)
2710,Paragonah
1200,Park Range
2526,Paulina Marsh
2765,Paunsaugunt
331,Paxton Ranch
2046,Pearl Harbor
1089,Peavine Peak
2045,Pedrogosa
1201,Peko Peak
1090,Penoyer
206,Peralta Hills
1092,Petersen Mountain (east)
1091,Petersen Mountain (west)
332,Pfieffer Point
2419,Picuris - Pecos
207,Pilarcitos
1204,Pilot Creek Valley
1241,Pilot Mountains (unnamed)
1205,Pilot Range
208,Pine Mountain
1251,Pine Mountains (unnamed)
1261,Pine Valley (unnamed)
209,Pinto Mountain
2569,Pioneer
210,Pisgah - Bullion Mountain - Mesquite Lake
333,Pitas Point
211,"Pitas Point (lower, Montalvo)"
212,"Pitas Point (lower, west)"
213,Pitas Point (upper)
2062,Pitaycachi (north)
2063,Pitaycachi (south)
214,Pittville
1206,Pleasant Valley (China Mountain)
1207,Pleasant Valley (Pearce)
1208,Pleasant Valley (Sou Hills)
1209,Pleasant Valley (Tobin)
215,Pleito
216,Point Reyes
217,Point Reyes (connector)
218,Polaris (CA)
2332,Polaris (MT)
349,Pondosa (proxy)
2766,Porcupine Mountains
2529,Portland Hills (north)
2570,Portland Hills (south)
2047,Prescott Valley Grabens
1210,Preston
219,Puente Hills (Coyote Hills)
220,Puente Hills (Los Angeles)
221,Puente Hills (Santa Fe Springs)
2421,Puye
1094,Pyramid Lake
2490,Pyramid Mountains (unnamed)
2477,Quebraditas - El Oro
223,Quien Sabe
1095,Railroad Valley
1096,Rainbow Mountain
1097,Rattlesnake Flat
1211,Ravenswood
224,Raymond
334,Red Bluff
1212,Red Buttes
2329,Red Canyon
335,Red Hill
2478,Red Hills (NM)
2767,Red Hills (UT)
225,Red Mountain
226,Red Pass
2310,Red Rock
2311,Red Rock Hills
228,Redondo Canyon
229,Reliz
1243,Reno (unnamed)
336,Reservoir Canyon
230,Richfield
2479,Rimrock
2480,Rincon
231,Rinconada
232,Robinson Creek
337,Robinson Creek (south)
2906,Rock Creek
2048,Rock House (northeast)
2049,Rock House (northwest)
2050,Rock House (south)
1214,Rock Valley
233,Rocky Ledge
903,Rodgers Creek - Healdsburg
234,Rose Canyon
2195,Roubideau Creek
235,Round Valley
1213,Ruby Mountains (center)
1098,Ruby Mountains (north)
1099,Ruby Mountains (south)
1100,Ruby Valley
2206,Rush Peak
236,Russ
2056,SP Crater
2838,Saddle Hill (Langley Hill)
2807,Saddle Mountains
2051,Safford
1215,Sagouse
1256,Sahwave Mountains (unnamed)
338,Salt Wells Valley
715,San Andreas (Banning)
706,San Andreas (Big Bend)
707,San Andreas (Carrizo)
708,San Andreas (Cholame)
700,San Andreas (Coachella)
710,San Andreas (Creeping)
705,"San Andreas (Mojave,  north)"
704,"San Andreas (Mojave,  south)"
713,San Andreas (North Coast)
714,San Andreas (Offshore)
709,San Andreas (Parkfield)
712,San Andreas (Peninsula)
703,"San Andreas (San Bernardino, north)"
702,"San Andreas (San Bernardino, south)"
701,San Andreas (San Gorgonio Pass - Garnet Hill)
711,San Andreas (Santa Cruz Mountains)
2422,San Andres Mountains
237,San Cayetano
238,San Clemente
239,San Diego Trough (north)
241,San Diego Trough (south)
1102,San Emidio
339,San Felipe
2423,San Felipe (proxy)
2424,San Francisco
2768,San Francisco Mountains (west)
242,San Gabriel
243,San Gabriel (extension)
244,San Gorgonio Pass
245,San Gregorio (north)
246,San Gregorio (south)
804,San Jacinto (Anza)
801,San Jacinto (Borrego)
803,San Jacinto (Clark)
802,San Jacinto (Coyote Creek)
807,San Jacinto (San Bernardino)
806,San Jacinto (San Jacinto Valley)
800,San Jacinto (Superstition Mountain)
805,San Jacinto (stepover)
247,San Joaquin Hills
248,San Jose
249,San Juan
250,San Luis Bay
251,San Luis Range (Oceano)
252,San Luis Range (Pecho)
253,San Luis Range (extended)
